order_id,customer_id,order_status,review_score,return_status,product_id,product_category_name,delivery_late,total_price,product_category_name_english,review_comment_message,translated_review
26466061ecf0630db081aea8581b871b,c278d9844e8b4f2dfa6edaea27845e8d,delivered,1,0,d42869d5edf603eb87c4b4cb40d11ca1,pet_shop,0,71.25,pet_shop,"O produto chegou bem antes do prazo, mas com defeito, veio quebrado o lugar de fazer o encaixar. Muito bonitinha, mas frágil. Tentei realizar a troca pelo site e não consegui. ","The product arrived well ahead of schedule, but it was defective, the place where it fit was broken.Very cute, but fragile.I tried to exchange via the website and was unable to do so."
8743b266d228ec2571e64dd54be2081b,f0aa0347bf053e01fa6a09a8f3b72594,delivered,5,0,cdac6f1d43b36d6f681eafe6bfd37ce2,esporte_lazer,0,75.56,sports_leisure,"Entrega feita no prazo, tudo correto. Produto com sabor excelente!","Delivery made on time, everything correct.Product with excellent flavor!"
649c4145bbf6cdb7b096afa02bf5e299,c0703d9275d93c6138c769adff0a4da2,delivered,2,0,06c6e01186af8b98ee1fc9e01f9471e9,informatica_acessorios,0,47.53,computers_accessories,"Gostei do design do produto, é bonito. Porém muito estreito o case, um dos meus hds externos não coube na largura. O case poderia ser mais largo, 1cm q fosse, para servir no geral os hds externos.","I liked the design of the product, it's beautiful.However, the case is very narrow, one of my external hard drives did not fit in width.The case could be wider, 1cm, to generally serve external hard drives."
56dc7f1b8195b7fbdd6479f055a203bb,71e31bd9c37b8a1cacc557b87b3e50cb,delivered,5,0,060c17562f97e5bb60bc0dfa4dd5b3f2,informatica_acessorios,0,38.22,computers_accessories,"O produto foi entregue muito antes do prazo, em perfeitas condições","The product was delivered well ahead of schedule, in perfect condition"
167d05678f810589a854d30460ae62f0,37ae23e3c8ce808a4ba0c0711706b956,canceled,1,1,8a2fde854a6f41aae89ce99303a847e8,esporte_lazer,0,209.78,sports_leisure,"Demora, produto nao entregue!","Delay, product not delivered!"
2ba1f687634de479f8b6f7c483597793,821208246445cf31f4aae41554db9df1,delivered,4,0,2d110366dd24a714cb50dddc30b4101c,esporte_lazer,0,46.69,sports_leisure,Produto bom e entrega rápida.,Good product and fast delivery.
965f41a5261d9e54ef1e3c7944ed618d,b1ddbe8d116b700e6af3e23fdb0778cb,delivered,4,0,be837f2e0152a208d4386f4126d5bd7c,eletrodomesticos,0,50.68,home_appliances,Boa loja,Good store
0a7f4604ee9cab65020038275efe1d76,f1f47119f889031980d7fad6a0b0c62f,canceled,1,1,67ff96903c597ba4b1d7f668734bc3a4,construcao_ferramentas_jardim,0,72.18,costruction_tools_garden,Quase um mês e nada,Almost a month and nothing
3f72f5304e4f8c8cd61260e86c8fa917,2a79bd6b8619530d1d3cc667733b9254,delivered,3,0,c21afe62d4629a660593fd9b5e6223bb,telefonia,0,48.21,telephony,porém o produto deu defeito e esta sendo encaminhado para a autorizada,"However, the product was defective and is being sent to the authorized"
c9f06c1229ec7cd4ec9aed55d434b499,fa89053140d09081b3a3a4608a74c083,canceled,1,1,8c292ca193d326152e335d77176746f0,beleza_saude,0,162.55,health_beauty,Faz um mês que comprei o produto é não foi entregue vou reclamar no reclame aqui é pedir reembolso já vai pra segunda parcela e não recebi.,It's been a month since I bought the product and it hasn't been delivered. I'm going to complain here and ask for a refund. It's already due for the second installment and I haven't received it.
6683aa4f73f7869ec65ebeeef53f700b,44d53248bdd39a477bcf6278e73a2844,canceled,2,1,c3a52053718435a35e070b991ff546ec,utilidades_domesticas,0,144.3,housewares,o pedido foi cancelado conforme email de vcs em 08 de maio,The order was canceled according to your email on May 8th
131ca8643d9f990f2ab26e3a33ec7950,21e11bcb4f1fee9d56abf583189acfa1,canceled,2,1,9d72e48d483b01cd07024793995aa30b,cool_stuff,0,214.16,cool_stuff,"Foi feito estorno do produto , mas demora muito grande pra resolver o problema, mas resolvido","The product was refunded, but it took a long time to resolve the issue, but it was resolved."
